instancia;arquivo;execucao_global;execucao;seed;threads;rota;melhor_rota_da_execucao;melhor_rota_geral;rota_da_melhor_solucao_global;rota_da_melhor_solucao_instancia;sequencia;numero_paradas;carga_estudantes;distancia_km;tempo_rota_segundos;tempo_total_rotas_execucao_seg;tempo_execucao_algoritmo_seg;tempo_parede_execucao_seg
Canberra;.\data\Canberra.bus;4;1;1840268610;1;6;sim;nao;nao;sim;"Escola -> Parada 178 -> Escola";1;24;12,327000;1127,000000;24583,000000;32,015296;32,533267
Canberra;.\data\Canberra.bus;4;1;1840268610;1;7;nao;nao;nao;sim;"Escola -> Parada 265 -> Escola";1;40;16,238000;1496,000000;24583,000000;32,015296;32,533267
Canberra;.\data\Canberra.bus;4;1;1840268610;1;8;nao;nao;nao;sim;"Escola -> Parada 325 -> Parada 248 -> Escola";2;38;35,133000;2795,000000;24583,000000;32,015296;32,533267
Canberra;.\data\Canberra.bus;4;1;1840268610;1;9;nao;nao;nao;sim;"Escola -> Parada 31 -> Parada 34 -> Parada 4 -> Parada 5 -> Escola";4;34;26,816000;1896,000000;24583,000000;32,015296;32,533267
Canberra;.\data\Canberra.bus;4;1;1840268610;1;10;nao;nao;nao;sim;"Escola -> Parada 62 -> Escola";1;29;16,951000;1429,000000;24583,000000;32,015296;32,533267
Canberra;.\data\Canberra.bus;4;1;1840268610;1;11;nao;nao;nao;sim;"Escola -> Parada 45 -> Parada 70 -> Escola";2;38;17,957000;1428,000000;24583,000000;32,015296;32,533267
Canberra;.\data\Canberra.bus;4;1;1840268610;1;12;nao;nao;nao;sim;"Escola -> Parada 122 -> Parada 18 -> Escola";2;36;23,498000;1819,000000;24583,000000;32,015296;32,533267
Canberra;.\data\Canberra.bus;4;1;1840268610;1;13;nao;nao;nao;sim;"Escola -> Parada 310 -> Parada 288 -> Escola";2;36;16,975000;1754,000000;24583,000000;32,015296;32,533267
Canberra;.\data\Canberra.bus;4;1;1840268610;1;14;nao;nao;nao;sim;"Escola -> Parada 324 -> Parada 328 -> Parada 320 -> Parada 326 -> Parada 329 -> Escola";5;39;38,978000;3378,000000;24583,000000;32,015296;32,533267
Cardiff;.\data\Cardiff.bus;5;1;974319580;1;1;nao;nao;nao;sim;"Escola -> Parada 494 -> Escola";1;38;14,073000;2182,000000;8763,000000;17,139761;19,506529
Cardiff;.\data\Cardiff.bus;5;1;974319580;1;2;sim;nao;nao;sim;"Escola -> Parada 237 -> Escola";1;12;10,835000;1711,000000;8763,000000;17,139761;19,506529
Cardiff;.\data\Cardiff.bus;5;1;974319580;1;3;nao;nao;nao;sim;"Escola -> Parada 459 -> Escola";1;45;13,058000;1424,000000;8763,000000;17,139761;19,506529
Cardiff;.\data\Cardiff.bus;5;1;974319580;1;4;nao;nao;nao;sim;"Escola -> Parada 383 -> Escola";1;33;15,067000;1166,000000;8763,000000;17,139761;19,506529
Cardiff;.\data\Cardiff.bus;5;1;974319580;1;5;nao;nao;nao;sim;"Escola -> Parada 115 -> Parada 452 -> Parada 111 -> Escola";3;28;22,827000;2280,000000;8763,000000;17,139761;19,506529
Edinburgh-1;.\data\Edinburgh-1.bus;6;1;2967327842;1;1;sim;nao;nao;sim;"Escola -> Parada 635 -> Escola";1;37;3,198000;422,000000;22042,000000;60,039909;66,680985
Edinburgh-1;.\data\Edinburgh-1.bus;6;1;2967327842;1;2;nao;nao;nao;sim;"Escola -> Parada 235 -> Escola";1;25;11,317000;1531,000000;22042,000000;60,039909;66,680985
Edinburgh-1;.\data\Edinburgh-1.bus;6;1;2967327842;1;3;nao;nao;nao;sim;"Escola -> Parada 667 -> Escola";1;29;5,642000;926,000000;22042,000000;60,039909;66,680985
Edinburgh-1;.\data\Edinburgh-1.bus;6;1;2967327842;1;4;nao;nao;nao;sim;"Escola -> Parada 769 -> Parada 632 -> Escola";2;40;5,969000;772,000000;22042,000000;60,039909;66,680985
Edinburgh-1;.\data\Edinburgh-1.bus;6;1;2967327842;1;5;nao;nao;nao;sim;"Escola -> Parada 319 -> Escola";1;30;4,918000;821,000000;22042,000000;60,039909;66,680985
Edinburgh-1;.\data\Edinburgh-1.bus;6;1;2967327842;1;6;nao;nao;nao;sim;"Escola -> Parada 484 -> Escola";1;39;6,249000;972,000000;22042,000000;60,039909;66,680985
Edinburgh-1;.\data\Edinburgh-1.bus;6;1;2967327842;1;7;nao;nao;nao;sim;"Escola -> Parada 287 -> Escola";1;26;5,950000;752,000000;22042,000000;60,039909;66,680985
Edinburgh-1;.\data\Edinburgh-1.bus;6;1;2967327842;1;8;nao;nao;nao;sim;"Escola -> Parada 363 -> Parada 330 -> Escola";2;40;13,083000;1740,000000;22042,000000;60,039909;66,680985
Edinburgh-1;.\data\Edinburgh-1.bus;6;1;2967327842;1;9;nao;nao;nao;sim;"Escola -> Parada 418 -> Escola";1;29;6,224000;993,000000;22042,000000;60,039909;66,680985
Edinburgh-1;.\data\Edinburgh-1.bus;6;1;2967327842;1;10;nao;nao;nao;sim;"Escola -> Parada 339 -> Escola";1;33;7,454000;1198,000000;22042,000000;60,039909;66,680985
Edinburgh-1;.\data\Edinburgh-1.bus;6;1;2967327842;1;11;nao;nao;nao;sim;"Escola -> Parada 237 -> Escola";1;28;5,912000;730,000000;22042,000000;60,039909;66,680985
Edinburgh-1;.\data\Edinburgh-1.bus;6;1;2967327842;1;12;nao;nao;nao;sim;"Escola -> Parada 358 -> Escola";1;37;12,249000;1649,000000;22042,000000;60,039909;66,680985
Edinburgh-1;.\data\Edinburgh-1.bus;6;1;2967327842;1;13;nao;nao;nao;sim;"Escola -> Parada 915 -> Escola";1;24;7,792000;1252,000000;22042,000000;60,039909;66,680985
Edinburgh-1;.\data\Edinburgh-1.bus;6;1;2967327842;1;14;nao;nao;nao;sim;"Escola -> Parada 389 -> Escola";1;35;5,602000;848,000000;22042,000000;60,039909;66,680985
Edinburgh-1;.\data\Edinburgh-1.bus;6;1;2967327842;1;15;nao;nao;nao;sim;"Escola -> Parada 662 -> Escola";1;35;10,191000;1389,000000;22042,000000;60,039909;66,680985
Edinburgh-1;.\data\Edinburgh-1.bus;6;1;2967327842;1;16;nao;nao;nao;sim;"Escola -> Parada 388 -> Escola";1;25;5,562000;831,000000;22042,000000;60,039909;66,680985
Edinburgh-1;.\data\Edinburgh-1.bus;6;1;2967327842;1;17;nao;nao;nao;sim;"Escola -> Parada 826 -> Escola";1;42;9,294000;1397,000000;22042,000000;60,039909;66,680985
Edinburgh-1;.\data\Edinburgh-1.bus;6;1;2967327842;1;18;nao;nao;nao;sim;"Escola -> Parada 232 -> Escola";1;50;6,946000;1029,000000;22042,000000;60,039909;66,680985
Edinburgh-1;.\data\Edinburgh-1.bus;6;1;2967327842;1;19;nao;nao;nao;sim;"Escola -> Parada 186 -> Escola";1;43;13,321000;1676,000000;22042,000000;60,039909;66,680985
Edinburgh-1;.\data\Edinburgh-1.bus;6;1;2967327842;1;20;nao;nao;nao;sim;"Escola -> Parada 663 -> Escola";1;33;8,418000;1114,000000;22042,000000;60,039909;66,680985
Edinburgh-2;.\data\Edinburgh-2.bus;7;1;2367878886;1;1;nao;nao;nao;sim;"Escola -> Parada 197 -> Escola";1;40;7,587000;1300,000000;8125,000000;60,138332;65,044743
Edinburgh-2;.\data\Edinburgh-2.bus;7;1;2367878886;1;2;nao;nao;nao;sim;"Escola -> Parada 231 -> Escola";1;46;6,422000;1113,000000;8125,000000;60,138332;65,044743
Edinburgh-2;.\data\Edinburgh-2.bus;7;1;2367878886;1;3;nao;nao;nao;sim;"Escola -> Parada 748 -> Escola";1;30;5,596000;1075,000000;8125,000000;60,138332;65,044743
Edinburgh-2;.\data\Edinburgh-2.bus;7;1;2367878886;1;4;nao;nao;nao;sim;"Escola -> Parada 442 -> Escola";1;27;8,368000;1282,000000;8125,000000;60,138332;65,044743
Edinburgh-2;.\data\Edinburgh-2.bus;7;1;2367878886;1;5;nao;nao;nao;sim;"Escola -> Parada 43 -> Escola";1;40;4,856000;810,000000;8125,000000;60,138332;65,044743
Edinburgh-2;.\data\Edinburgh-2.bus;7;1;2367878886;1;6;nao;nao;nao;sim;"Escola -> Parada 240 -> Parada 543 -> Escola";2;37;6,944000;1360,000000;8125,000000;60,138332;65,044743
Edinburgh-2;.\data\Edinburgh-2.bus;7;1;2367878886;1;7;nao;nao;nao;sim;"Escola -> Parada 279 -> Escola";1;39;2,478000;481,000000;8125,000000;60,138332;65,044743
Edinburgh-2;.\data\Edinburgh-2.bus;7;1;2367878886;1;8;sim;sim;nao;sim;"Escola -> Parada 904 -> Parada 363 -> Escola";2;34;1,600000;323,000000;8125,000000;60,138332;65,044743
Edinburgh-2;.\data\Edinburgh-2.bus;7;1;2367878886;1;9;nao;nao;nao;sim;"Escola -> Parada 304 -> Escola";1;27;1,917000;381,000000;8125,000000;60,138332;65,044743
MiltonKeynes;.\data\MiltonKeynes.bus;8;1;3088727057;1;1;nao;nao;nao;sim;"Escola -> Parada 94 -> Parada 529 -> Escola";2;40;17,591000;1350,000000;7832,000000;18,216276;20,774908
MiltonKeynes;.\data\MiltonKeynes.bus;8;1;3088727057;1;2;nao;nao;nao;sim;"Escola -> Parada 348 -> Escola";1;40;13,714000;1027,000000;7832,000000;18,216276;20,774908
MiltonKeynes;.\data\MiltonKeynes.bus;8;1;3088727057;1;3;nao;nao;nao;sim;"Escola -> Parada 50 -> Escola";1;38;11,690000;923,000000;7832,000000;18,216276;20,774908
MiltonKeynes;.\data\MiltonKeynes.bus;8;1;3088727057;1;4;nao;nao;nao;sim;"Escola -> Parada 420 -> Escola";1;17;12,885000;890,000000;7832,000000;18,216276;20,774908
MiltonKeynes;.\data\MiltonKeynes.bus;8;1;3088727057;1;5;nao;nao;nao;sim;"Escola -> Parada 29 -> Escola";1;40;15,426000;951,000000;7832,000000;18,216276;20,774908
MiltonKeynes;.\data\MiltonKeynes.bus;8;1;3088727057;1;6;nao;nao;nao;sim;"Escola -> Parada 6 -> Escola";1;26;13,829000;1052,000000;7832,000000;18,216276;20,774908
MiltonKeynes;.\data\MiltonKeynes.bus;8;1;3088727057;1;7;nao;nao;nao;sim;"Escola -> Parada 266 -> Escola";1;33;11,117000;887,000000;7832,000000;18,216276;20,774908
MiltonKeynes;.\data\MiltonKeynes.bus;8;1;3088727057;1;8;sim;nao;nao;sim;"Escola -> Parada 372 -> Escola";1;40;8,934000;752,000000;7832,000000;18,216276;20,774908
Porthcawl;.\data\Porthcawl.bus;9;1;3090095699;1;1;nao;nao;sim;sim;"Escola -> Parada 127 -> Parada 60 -> Escola";2;30;15,292000;1614,000000;2598,000000;2,875577;3,079461
Porthcawl;.\data\Porthcawl.bus;9;1;3090095699;1;2;sim;nao;sim;sim;"Escola -> Parada 78 -> Escola";1;36;10,191000;984,000000;2598,000000;2,875577;3,079461
Suffolk;.\data\Suffolk.bus;10;1;2109339754;1;1;nao;nao;nao;sim;"Escola -> Parada 49 -> Parada 165 -> Parada 86 -> Escola";3;36;37,799000;3115,000000;12295,000000;5,656258;5,898223
Suffolk;.\data\Suffolk.bus;10;1;2109339754;1;2;nao;nao;nao;sim;"Escola -> Parada 12 -> Parada 8 -> Parada 167 -> Parada 172 -> Parada 34 -> Parada 117 -> Escola";6;36;33,514000;2396,000000;12295,000000;5,656258;5,898223
Suffolk;.\data\Suffolk.bus;10;1;2109339754;1;3;nao;nao;nao;sim;"Escola -> Parada 37 -> Parada 157 -> Parada 74 -> Escola";3;35;26,683000;2213,000000;12295,000000;5,656258;5,898223
Suffolk;.\data\Suffolk.bus;10;1;2109339754;1;4;nao;nao;nao;sim;"Escola -> Parada 33 -> Parada 17 -> Parada 23 -> Escola";3;38;20,540000;1618,000000;12295,000000;5,656258;5,898223
Suffolk;.\data\Suffolk.bus;10;1;2109339754;1;5;nao;nao;nao;sim;"Escola -> Parada 159 -> Parada 124 -> Parada 135 -> Escola";3;28;20,717000;1534,000000;12295,000000;5,656258;5,898223
Suffolk;.\data\Suffolk.bus;10;1;2109339754;1;6;sim;nao;nao;sim;"Escola -> Parada 93 -> Parada 171 -> Escola";2;36;18,949000;1419,000000;12295,000000;5,656258;5,898223
